,Harry Potter and the Chamber of Secrets,Unnamed: 1
0,By J.K. Rowling,
1,CHAPTER ONE,
2,The Worst Birthday,
3,"Not for the first time, an argument had broken out over breakfast at number four, Privet",
4,"Drive. Mr. Vernon Dursley had been woken in the early hours of the morning by a loud,",
5,hooting noise from his nephew Harry’s room.,
6,"“Third time this week!” he roared across the table. “If you can’t control that owl, it’ll",have
7,to go!”,
8,"Harry tried, yet again, to explain.",
9,"“She’s bored,” he said. “She’s used to flying around outside. If I could just let her out",at
10,night -”,
11,"“Do I look stupid?” snarled Uncle Vernon, a bit of fried egg dangling from his bushy",
12,mustache. “I know what’ll happen if that owl’s let out.”,
13,"He exchanged dark looks with his wife, Petunia.",
14,"Harry tried to argue back but his words were drowned by a long, loud belch from the",
15,"Dursleys’ son, Dudley.",
16,“I want more bacon.”,
17,"“There’s more in the frying pan, sweetums,” said Aunt Petunia, turning misty eyes on her",
18,massive son. “We must build you up while we’ve got the chance… I don’t like the sound,
19,of that school food…”,
20,Page 1 of 291,
21,Get free e-books and video tutorials at www.passuneb.com,
22,,
23,,
24,"“Nonsense, Petunia, I never went hungry when I was at Smeltings,” said Uncle Vernon",
25,"heartily. “Dudley gets enough, don’t you, son?”",
26,"Dudley, who was so large his bottom drooped over either side of the kitchen chair,",
27,grinned and turned to Harry.,
28,“Pass the frying pan.”,
29,"“You’ve forgotten the magic word,” said Harry irritably.",
30,The effect of this simple sentence on the rest of the family was incredible: Dudley,
31,gasped and fell off his chair with a crash that shook the whole kitchen; Mrs. Dursley gave,
32,"a small scream and clapped her hands to her mouth; Mr. Dursley jumped to his feet,",
33,veins throbbing in his temples.,
34,“I meant ‘please’!” said Harry quickly. “I didn’t mean —”,
35,"“WHAT HAVE I TOLD YOU,” thundered his uncle, spraying spit over the table, “ABOUT",
36,SAYING THE ‘M’ WORD IN OUR HOUSE?”,
37,“But I —”,
38,"“HOW DARE YOU THREATEN DUDLEY!” roared Uncle Vernon, pounding the table with",
39,his fist.,
40,“I just —”,
41,“I WARNED YOU! I WILL NOT TOLERATE MENTION OF YOUR ABNORMALITY UNDER,
42,THIS ROOF!”,
43,"Harry stared from his purple-faced uncle to his pale aunt, who was trying to heave",
44,Dudley to his feet.,
45,"“All right,” said Harry, “all right…”",
46,"Uncle Vernon sat back down, breathing like a winded rhinoceros and watching Harry",
47,"closely out of the corners of his small, sharp eyes.",
48,Page 2 of 291,
49,Get free e-books and video tutorials at www.passuneb.com,
50,,
51,,
52,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been",
53,"treating him like a bomb that might go off at any moment, because Harry Potter wasn’t",
54,"a normal boy. As a matter of fact, he was as not normal as it is possible to be.",
55,Harry Potter was a wizard — a wizard fresh from his first year at Hogwarts School of,
56,Witchcraft and Wizardry. And if the Dursleys were unhappy to have him back for the,
57,"holidays, it was nothing to how Harry felt.",
58,He missed Hogwarts so much it was like having a constant stomachache. He missed the,
59,"castle, with its secret passageways and ghosts, his classes (though perhaps not Snape,",
60,"the Potions master), the mail arriving by owl, eating banquets in the Great Hall, sleeping",
61,"in his four-poster bed in the tower dormitory, visiting the gamekeeper, Hagrid, in his",
62,"cabin next to the Forbidden Forest in the grounds, and, especially, Quidditch, the most",
63,"popular sport in the wizarding world (six tall goal posts, four flying balls, and fourteen",
64,players on broomsticks).,
65,"All Harry’s spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two",
66,Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon,
67,the instant Harry had come home. What did the Dursleys care if Harry lost his place on,
68,the House Quidditch team because he hadn’t practiced all summer? What was it to the,
69,Dursleys if Harry went back to school without any of his homework done? The Dursleys,
70,"were what wizards called Muggles (not a drop of magical blood in their veins), and as far",
71,"as they were concerned, having a wizard in the family was a matter of deepest shame.",
72,"Uncle Vernon had even padlocked Harry’s owl, Hedwig, inside her cage, to stop her from",
73,carrying messages to anyone in the wizarding world.,
74,"Harry looked nothing like the rest of the family. Uncle Vernon was large and neckless,",
75,with an enormous black mustache; Aunt Petunia was horse-faced and bony; Dudley was,
76,"blond, pink, and porky. Harry, on the other hand, was small and skinny, with brilliant",
