,Harry Potter
0,AND THE GOBLET OF FIRE
1,also by j. k. rowling
2,Harry Potter and the Sorcerer’s Stone
3,Year One at Hogwarts
4,Harry Potter and the Chamber of Secrets
5,Year Two at Hogwarts
6,Harry Potter and the Prisoner of Azkaban
7,Year Three at Hogwarts
8,Harry Potter and the Goblet of Fire
9,Year Four at Hogwarts
10,Harry Potter and the Order of the Phoenix
11,Year Five at Hogwarts
12,Harry Potter and the Half-Blood Prince
13,Year Six at Hogwarts
14,Harry Potter and the Deathly Hallows
15,Year Seven at Hogwarts
16,Harry                    P
17,and the goblet of fire
18,otter
19,BY
20,J. K. Rowling
21,ILLUSTRATIONS BY Mary GrandPré
22,ARTHUR A. LEVINE BOOKS
23,AN IMPRINT OF SCHOLASTIC Press.
24,"To Peter Rowling,"
25,In Memory of Mr. Ridley
26,"And to Susan Sladden,"
27,Who helped Harry
28,Out of his cupboard
29,Text copyright © 2000 by J.K. Rowling
30,Illustrations by Mary GrandPre copyright © 2000 Warner Bros.
31,"All rights reserved. Published by Scholastic Press, a division of Scholastic Inc.,"
32,Publishers since 1920.
33,"SCHOLASTIC, SCHOLASTIC PRESS, and the LANTERN LOGO"
34,are trademarks and/or registered trademarks of Scholastic Inc.
35,HARRY POTTER     and all related characters and elements are trademarks of Warner Bros.
36,"No part of this publication may be reproduced, or stored in a retrieval system, or transmitted"
37,"in any form or by any means, electronic, mechanical, photocopying, recording, or otherwise,"
38,"without written permission of the publisher. For information regarding permission, write"
39,"to Scholastic Inc., Attention: Permissions Department, 555 Broadway, New York, NY 10012."
40,Library of Congress Cataloging-in-Publication Data Available
41,Library of Congress catalog card number: 00-131084
42,ISBN 0-439-13959-7
43,Sequel to: Harry Potter and the Prisoner of Azkaban
44,"Summary: Fourteen-year-old Harry Potter joins the Weasleys at the Quidditch World Cup,"
45,then enters his fourth year at Hogwarts Academy where he is mysteriously entered in an
46,"unusual contest that challenges his wizarding skills, friendships and character,"
47,amid signs that an old enemy is growing stronger.
48,40 39 38 37 36 35 34 33                      05 06 07 08 09 10 11 12
49,Printed in the U.S.A. 55
50,"First American edition, July 2000"
51,Contents
52,ONE
