,Harry Potter
0,AND THE ORDER OF THE PHOENIX
1,also by j. k. rowling
2,Harry Potter and the Sorcerer’s Stone
3,Year One at Hogwarts
4,Harry Potter and the Chamber of Secrets
5,Year Two at Hogwarts
6,Harry Potter and the Prisoner of Azkaban
7,Year Three at Hogwarts
8,Harry Potter and the Goblet of Fire
9,Year Four at Hogwarts
10,Harry Potter and the Order of the Phoenix
11,Year Five at Hogwarts
12,Harry Potter and the Half-Blood Prince
13,Year Six at Hogwarts
14,Harry Potter and the Deathly Hallows
15,Year Seven at Hogwarts
16,H   arry                 P
17,and the Order of the Phoenix
18,otter
19,BY
20,J. K. Rowling
21,ILLUSTRATIONS BY Mary GrandPré
22,ARTHUR A. LEVINE BOOKS
23,AN IMPRINT OF SCHOLASTIC Press.
24,"To Neil, Jessica, and David,"
25,who make my world magical.
26,Text copyright © 2003 by J. K. Rowling
27,Illustrations by Mary Grandpré copyright © 2003 by Warner Bros.
28,"harry potter, characters, names and related indicia are trademarks of"
29,and © Warner Bros. Harry Potter Publishing Rights © J. K. Rowling.
30,"All rights reserved. Published by Scholastic Press, a division of Scholastic Inc.,"
31,Publishers since 1920.
32,"scholastic, scholastic press, and the lantern logo"
33,are trademarks and/or registered trademarks of Scholastic Inc.
34,"No part of this publication may be reproduced, or stored in a retrieval system, or transmitted"
35,"in any form or by any means, electronic, mechanical, photocopying, recording, or otherwise,"
36,"without written permission of the publisher. For information regarding permission, write"
37,"to Scholastic Inc., Attention: Permissions Department, 557 Broadway, New York, NY 10012."
38,Library of Congress Cataloging-in-Publication Data Available
39,Library of Congress Control Number: 2003102525
40,ISBN 0-439-35806-X
41,10 9 8      03 04 05 06 07
42,Printed in the U.S.A.      37
43,"Second edition, August 2003"
44,C ontents
45,ONE
46,Dudley Demented · 1
47,TWO
48,A Peck of Owls · 20
49,THREE
50,The Advance Guard · 42
51,FOUR
52,"Number Twelve, Grimmauld Place · 59"
53,FIVE
54,The Order of the Phoenix · 79
55,SIX
56,The Noble and Most Ancient House of Black · 98
57,SEVEN
58,The Ministry of Magic · 121
59,EIGHT
60,The Hearing · 137
61, vii  
62,NINE
63,The Woes of Mrs. Weasley · 152
64,TEN
65,Luna Lovegood · 179
66,ELEVEN
67,The Sorting Hat’s New Song · 200
68,TWELVE
69,Professor Umbridge · 221
70,THIRTEEN
71,Detention with Dolores · 250
72,FOURTEEN
73,Percy and Padfoot · 279
74,FIFTEEN
75,The Hogwarts High Inquisitor · 306
76,SIXTEEN
77,In the Hog’s Head · 330
78,SEVENTEEN
79,Educational Decree Number Twenty-Four · 350
80, viii 
81,EIGHTEEN
82,Dumbledore’s Army · 374
83,NINETEEN
84,The Lion and the Serpent · 397
85,TWENTY
86,Hagrid’s Tale · 420
87,TWENTY-ONE
88,The Eye of the Snake · 441
89,TWENTY-TWO
90,St. Mungo’s Hospital for Magical
91,Maladies and Injuries · 466
92,TWENTY-Three
93,Christmas on the Closed Ward · 492
94,TWENTY-FOUR
95,Occlumency · 516
96,TWENTY-FIVE
97,The Beetle at Bay · 543
98,TWENTY-SIX
99,Seen and Unforeseen · 570
100, ix 
101,TWENTY-SEVEN
102,The Centaur and the Sneak · 599
103,TWENTY-EIGHT
104,Snape’s Worst Memory · 624
105,TWENTY-NINE
106,Career Advice · 651
107,THIRTY
108,Grawp · 676
109,THIRTY-ONE
110,O.W.L.s · 703
111,THIRTY-TWO
112,Out of the Fire · 729
113,THIRTY-THREE
114,Fight and Flight · 751
115,THIRTY-FOUR
116,The Department of Mysteries · 764
117,THIRTY-FIVE
118,Beyond the Veil · 781
119, x  
120,THIRTY-SIX
121,The Only One He Ever Feared · 807
122,THIRTY-SEVEN
123,The Lost Prophecy · 820
124,THIRTY-EIGHT
125,The Second War Begins · 845
126, xi 
127,Harry Potter
128,And the Order OF Phoenix
129,CHAPTER ONE
130,DUDLEY DEMENTED
131,T      he hottest day of the summer so far was drawing to a close and
132,"a drowsy silence lay over the large, square houses of Privet"
133,Drive. Cars that were usually gleaming stood dusty in their drives and
134,lawns that were once emerald green lay parched and yellowing; the use
135,of hosepipes had been banned due to drought. Deprived of their usual
136,"car-washing and lawn-mowing pursuits, the inhabitants of Privet"
137,"Drive had retreated into the shade of their cool houses, windows"
138,thrown wide in the hope of tempting in a nonexistent breeze. The
139,only person left outdoors was a teenage boy who was lying flat on his
140,back in a flower bed outside number four.
141,"He was a skinny, black-haired, bespectacled boy who had the"
142,"pinched, slightly unhealthy look of someone who has grown a lot in a"
143,"short space of time. His jeans were torn and dirty, his T-shirt baggy"
144,"and faded, and the soles of his trainers were peeling away from the up-"
145,"pers. Harry Potter’s appearance did not endear him to the neighbors,"
146,who were the sort of people who thought scruffiness ought to be pun-
147,"ishable by law, but as he had hidden himself behind a large hydrangea"
148,"bush this evening he was quite invisible to passersby. In fact, the only"
149, 1 
150,CHAPTER ONE
151,way he would be spotted was if his Uncle Vernon or Aunt Petunia
152,stuck their heads out of the living room window and looked straight
153,down into the flower bed below.
154,"On the whole, Harry thought he was to be congratulated on his"
155,"idea of hiding here. He was not, perhaps, very comfortable lying on"
156,"the hot, hard earth, but on the other hand, nobody was glaring at"
157,"him, grinding their teeth so loudly that he could not hear the news, or"
158,"shooting nasty questions at him, as had happened every time he had"
159,tried sitting down in the living room and watching television with his
160,aunt and uncle.
161,Almost as though this thought had fluttered through the open win-
162,"dow, Vernon Dursley, Harry’s uncle, suddenly spoke. “Glad to see the"
163,boy’s stopped trying to butt in. Where is he anyway?”
164,"“I don’t know,” said Aunt Petunia unconcernedly. “Not in the"
165,house.”
166,Uncle Vernon grunted.
167,“Watching the news . . .” he said scathingly. “I’d like to know what
168,he’s really up to. As if a normal boy cares what’s on the news — Dud-
169,"ley hasn’t got a clue what’s going on, doubt he knows who the Prime"
170,"Minister is! Anyway, it’s not as if there’d be anything about his lot on"
171,our news —”
172,"“Vernon, shh!” said Aunt Petunia. “The window’s open!”"
173,"“Oh — yes — sorry, dear . . .”"
174,The Dursleys fell silent. Harry listened to a jingle about Fruit ’N
175,"Bran breakfast cereal while he watched Mrs. Figg, a batty, cat-loving"
176,"old lady from nearby Wisteria Walk, amble slowly past. She was"
177,frowning and muttering to herself. Harry was very pleased that he was
178,concealed behind the bush; Mrs. Figg had recently taken to asking
179,him around for tea whenever she met him in the street. She had
180,rounded the corner and vanished from view before Uncle Vernon’s
181,voice floated out of the window again.
182,  2 
183,DUDLEY DEMENTED
184,“Dudders out for tea?”
185,"“At the Polkisses’,” said Aunt Petunia fondly. “He’s got so many lit-"
186,"tle friends, he’s so popular . . .”"
187,Harry repressed a snort with difficulty. The Dursleys really were as-
188,"tonishingly stupid about their son, Dudley; they had swallowed all his"
189,dim-witted lies about having tea with a different member of his gang
190,every night of the summer holidays. Harry knew perfectly well that
191,Dudley had not been to tea anywhere; he and his gang spent every
192,"evening vandalizing the play park, smoking on street corners, and"
193,throwing stones at passing cars and children. Harry had seen them at
194,it during his evening walks around Little Whinging; he had spent
195,"most of the holidays wandering the streets, scavenging newspapers"
196,from bins along the way.
197,The opening notes of the music that heralded the seven o’clock
198,news reached Harry’s ears and his stomach turned over. Perhaps
199,tonight — after a month of waiting — would be the night —
200,“Record numbers of stranded holidaymakers fill airports as the
201,Spanish baggage-handlers’ strike reaches its second week —”
202,"“Give ’em a lifelong siesta, I would,” snarled Uncle Vernon over the"
203,"end of the newsreader’s sentence, but no matter: Outside in the flower"
204,"bed, Harry’s stomach seemed to unclench. If anything had happened,"
205,it would surely have been the first item on the news; death and de-
206,struction were more important than stranded holidaymakers. . . .
207,"He let out a long, slow breath and stared up at the brilliant blue sky."
208,"Every day this summer had been the same: the tension, the expecta-"
209,"tion, the temporary relief, and then mounting tension again . . . and"
210,"always, growing more insistent all the time, the question of why noth-"
211,ing had happened yet. . . .
212,"He kept listening, just in case there was some small clue, not rec-"
213,ognized for what it really was by the Muggles — an unexplained
214,"disappearance, perhaps, or some strange accident . . . but the"
215, 3 
216,CHAPTER ONE
217,baggage-handlers’ strike was followed by news on the drought in the
218,"Southeast (“I hope he’s listening next door!” bellowed Uncle Vernon,"
219,“with his sprinklers on at three in the morning!”); then a helicopter
220,"that had almost crashed in a field in Surrey, then a famous actress’s di-"
221,vorce from her famous husband (“as if we’re interested in their sordid
222,"affairs,” sniffed Aunt Petunia, who had followed the case obsessively"
223,in every magazine she could lay her bony hands on).
224,Harry closed his eyes against the now blazing evening sky as the
225,"newsreader said, “And finally, Bungy the budgie has found a novel"
226,"way of keeping cool this summer. Bungy, who lives at the Five Feath-"
227,"ers in Barnsley, has learned to water-ski! Mary Dorkins went to find"
228,out more. . . .”
229,Harry opened his eyes again. If they had reached water-skiing
230,"budgerigars, there was nothing else worth hearing. He rolled cau-"
231,"tiously onto his front and raised himself onto his knees and elbows,"
232,preparing to crawl out from under the window.
233,He had moved about two inches when several things happened in
234,very quick succession.
